,stakes,offer,accept,year,stakes_1,stakes_2,stakes_3,stakes_4,percent_offer,wealth,moneyoffer,SR,C,IN,DaysW
1086,1500,460,1,,0,0,1,,0.46,,690,1,0,0,2.875
1087,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1088,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1089,1500,600,1,,0,0,1,,0.6,,900.00006,1,0,0,3.7500002
1090,1500,450,1,,0,0,1,,0.45,,675,1,0,0,2.8125
1091,1500,380,1,,0,0,1,,0.38,,570,1,0,0,2.375
1092,1500,600,1,,0,0,1,,0.6,,900.00006,1,0,0,3.7500002
1093,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1094,1500,380,1,,0,0,1,,0.38,,570,1,0,0,2.375
1095,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1096,1500,200,1,,0,0,1,,0.2,,300,1,0,0,1.25
1097,1500,345,1,,0,0,1,,0.345,,517.5,1,0,0,2.15625
1098,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1099,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1100,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1101,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1102,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1103,1500,330,1,,0,0,1,,0.33,,495.00003,1,0,0,2.0625002
1104,1500,150,0,,0,0,1,,0.15,,225.00002,1,0,0,0.93750006
1105,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1106,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1107,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1108,1500,420,1,,0,0,1,,0.42,,630,1,0,0,2.625
1109,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1110,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1111,1500,450,1,,0,0,1,,0.45,,675,1,0,0,2.8125
1112,1500,580,1,,0,0,1,,0.58,,870,1,0,0,3.625
1113,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1114,1500,730,1,,0,0,1,,0.73,,1095,1,0,0,4.5625
1115,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1116,1500,200,1,,0,0,1,,0.2,,300,1,0,0,1.25
1117,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1118,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1119,1500,370,1,,0,0,1,,0.37,,555,1,0,0,2.3125
1120,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1121,1500,200,0,,0,0,1,,0.2,,300,1,0,0,1.25
1122,1500,710,1,,0,0,1,,0.71,,1065,1,0,0,4.4375
1123,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1124,1500,370,1,,0,0,1,,0.37,,555,1,0,0,2.3125
1125,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1126,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1127,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1128,1500,250,1,,0,0,1,,0.25,,375,1,0,0,1.5625
1129,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1130,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1131,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1132,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1133,1500,410,1,,0,0,1,,0.41,,615,1,0,0,2.5625
1134,1500,430,1,,0,0,1,,0.43,,645,1,0,0,2.6875
1135,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1136,1500,440,0,,0,0,1,,0.44,,660,1,0,0,2.75
1137,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1138,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1139,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1140,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1141,1500,270,0,,0,0,1,,0.27,,405.00003,1,0,0,1.6875001
1142,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1143,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1144,1500,370,1,,0,0,1,,0.37,,555,1,0,0,2.3125
1145,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1146,1500,200,1,,0,0,1,,0.2,,300,1,0,0,1.25
1147,1500,240,0,,0,0,1,,0.24,,360,1,0,0,1.5
1148,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1149,1500,335,1,,0,0,1,,0.335,,502.5,1,0,0,2.09375
1150,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1151,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1152,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1153,1500,250,1,,0,0,1,,0.25,,375,1,0,0,1.5625
1154,1500,300,1,,0,0,1,,0.3,,450.00003,1,0,0,1.8750001
1155,1500,480,1,,0,0,1,,0.48,,720,1,0,0,3
1156,1500,300,0,,0,0,1,,0.3,,450.00003,1,0,0,1.8750001
1157,1500,400,0,,0,0,1,,0.4,,600,1,0,0,2.5
1158,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1159,1500,425,1,,0,0,1,,0.425,,637.5,1,0,0,2.65625
1160,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1161,1500,440,1,,0,0,1,,0.44,,660,1,0,0,2.75
1162,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1163,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1164,1500,730,1,,0,0,1,,0.73,,1095,1,0,0,4.5625
1165,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1166,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1167,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1168,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1169,1500,360,1,,0,0,1,,0.36,,540,1,0,0,2.25
1170,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1171,1500,200,1,,0,0,1,,0.2,,300,1,0,0,1.25
1172,1500,220,0,,0,0,1,,0.22,,330,1,0,0,1.375
1173,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1174,1500,300,1,,0,0,1,,0.3,,450.00003,1,0,0,1.8750001
1175,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1176,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1177,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1178,1500,200,0,,0,0,1,,0.2,,300,1,0,0,1.25
1179,1500,200,0,,0,0,1,,0.2,,300,1,0,0,1.25
1180,1500,480,1,,0,0,1,,0.48,,720,1,0,0,3
1181,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1182,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1183,1500,410,1,,0,0,1,,0.41,,615,1,0,0,2.5625
1184,1500,435,1,,0,0,1,,0.435,,652.5,1,0,0,2.71875
1185,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1186,1500,440,1,,0,0,1,,0.44,,660,1,0,0,2.75
1187,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1188,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1189,1500,730,1,,0,0,1,,0.73,,1095,1,0,0,4.5625
1190,1500,370,1,,0,0,1,,0.37,,555,1,0,0,2.3125
1191,1500,340,1,,0,0,1,,0.34,,510,1,0,0,2.125
1192,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1193,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1194,1500,350,1,,0,0,1,,0.35,,525,1,0,0,2.1875
1195,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1196,1500,200,0,,0,0,1,,0.2,,300,1,0,0,1.25
1197,1500,490,1,,0,0,1,,0.49,,735,1,0,0,3.0625
1198,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1199,1500,260,1,,0,0,1,,0.26,,390,1,0,0,1.625
1200,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1201,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1202,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1203,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1204,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1205,1500,470,1,,0,0,1,,0.47,,705,1,0,0,2.9375
1206,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1207,1500,400,0,,0,0,1,,0.4,,600,1,0,0,2.5
1208,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1209,1500,440,1,,0,0,1,,0.44,,660,1,0,0,2.75
1210,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1211,1500,430,1,,0,0,1,,0.43,,645,1,0,0,2.6875
1212,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1213,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1214,1500,800,1,,0,0,1,,0.8,,1200,1,0,0,5
1215,1500,370,1,,0,0,1,,0.37,,555,1,0,0,2.3125
1216,1500,340,1,,0,0,1,,0.34,,510,1,0,0,2.125
1217,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1218,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1219,1500,340,0,,0,0,1,,0.34,,510,1,0,0,2.125
1220,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1221,1500,200,1,,0,0,1,,0.2,,300,1,0,0,1.25
1222,1500,505,1,,0,0,1,,0.505,,757.5,1,0,0,3.15625
1223,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1224,1500,220,1,,0,0,1,,0.22,,330,1,0,0,1.375
1225,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1226,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1227,1500,500,0,,0,0,1,,0.5,,750,1,0,0,3.125
1228,1500,330,1,,0,0,1,,0.33,,495.00003,1,0,0,2.0625002
1229,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1230,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1231,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1232,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1233,1500,380,1,,0,0,1,,0.38,,570,1,0,0,2.375
1234,1500,440,1,,0,0,1,,0.44,,660,1,0,0,2.75
1235,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1236,1500,440,1,,0,0,1,,0.44,,660,1,0,0,2.75
1237,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1238,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1239,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1240,1500,370,1,,0,0,1,,0.37,,555,1,0,0,2.3125
1241,1500,340,1,,0,0,1,,0.34,,510,1,0,0,2.125
1242,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1243,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1244,1500,340,1,,0,0,1,,0.34,,510,1,0,0,2.125
1245,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1246,1500,200,1,,0,0,1,,0.2,,300,1,0,0,1.25
1247,1500,360,1,,0,0,1,,0.36,,540,1,0,0,2.25
1248,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1249,1500,170,0,,0,0,1,,0.17,,255,1,0,0,1.0625
1250,1500,340,1,,0,0,1,,0.34,,510,1,0,0,2.125
1251,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1252,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1253,1500,330,1,,0,0,1,,0.33,,495.00003,1,0,0,2.0625002
1254,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1255,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1256,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1257,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1258,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1259,1500,440,1,,0,0,1,,0.44,,660,1,0,0,2.75
1260,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1261,1500,430,1,,0,0,1,,0.43,,645,1,0,0,2.6875
1262,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1263,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1264,1500,665,1,,0,0,1,,0.665,,997.50006,1,0,0,4.1562505
1265,1500,335,1,,0,0,1,,0.335,,502.5,1,0,0,2.09375
1266,1500,330,1,,0,0,1,,0.33,,495.00003,1,0,0,2.0625002
1267,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1268,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1269,1500,350,1,,0,0,1,,0.35,,525,1,0,0,2.1875
1270,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1271,1500,400,1,,0,0,1,,0.4,,600,1,0,0,2.5
1272,1500,600,1,,0,0,1,,0.6,,900.00006,1,0,0,3.7500002
1273,1500,500,0,,0,0,1,,0.5,,750,1,0,0,3.125
1274,1500,200,0,,0,0,1,,0.2,,300,1,0,0,1.25
1275,1500,340,1,,0,0,1,,0.34,,510,1,0,0,2.125
1276,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1277,1500,500,1,,0,0,1,,0.5,,750,1,0,0,3.125
1278,5000,0,0,,,,,,0,,,0,1,0,0
1279,5000,500,0,,,,,,0.1,,,0,1,0,0.1875
1280,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1281,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1282,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1283,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1284,5000,2000,0,,,,,,0.4,,,0,1,0,0.75
1285,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1286,5000,2000,0,,,,,,0.4,,,0,1,0,0.75
1287,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1288,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1289,5000,2200,1,,,,,,0.44,,,0,1,0,0.825
1290,5000,2400,1,,,,,,0.48,,,0,1,0,0.9
1291,5000,2400,1,,,,,,0.48,,,0,1,0,0.9
1292,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1293,5000,2500,0,,,,,,0.5,,,0,1,0,0.9375
1294,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1295,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1296,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1297,5000,2750,1,,,,,,0.55,,,0,1,0,1.03125
1298,5000,3000,1,,,,,,0.6,,,0,1,0,1.125
1299,5000,3500,1,,,,,,0.7,,,0,1,0,1.3125
1300,5000,3800,1,,,,,,0.76,,,0,1,0,1.425
1301,5000,4000,1,,,,,,0.8,,,0,1,0,1.5
1302,5000,4000,1,,,,,,0.8,,,0,1,0,1.5
1303,5000,4200,1,,,,,,0.84,,,0,1,0,1.575
1304,5000,0,0,,,,,,0,,,0,1,0,0
1305,5000,0,0,,,,,,0,,,0,1,0,0
1306,5000,0,0,,,,,,0,,,0,1,0,0
1307,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1308,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1309,5000,1200,0,,,,,,0.24,,,0,1,0,0.45
1310,5000,1500,0,,,,,,0.3,,,0,1,0,0.5625
1311,5000,1500,0,,,,,,0.3,,,0,1,0,0.5625
1312,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1313,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1314,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1315,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1316,5000,2250,1,,,,,,0.45,,,0,1,0,0.84375
1317,5000,2400,1,,,,,,0.48,,,0,1,0,0.9
1318,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1319,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1320,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1321,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1322,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1323,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1324,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1325,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1326,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1327,5000,3000,1,,,,,,0.6,,,0,1,0,1.125
1328,5000,3000,1,,,,,,0.6,,,0,1,0,1.125
1329,5000,4000,1,,,,,,0.8,,,0,1,0,1.5
1330,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1331,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1332,5000,1000,1,,,,,,0.2,,,0,1,0,0.375
1333,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1334,5000,1500,1,,,,,,0.3,,,0,1,0,0.5625
1335,5000,1500,1,,,,,,0.3,,,0,1,0,0.5625
1336,5000,1500,0,,,,,,0.3,,,0,1,0,0.5625
1337,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1338,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1339,5000,2000,0,,,,,,0.4,,,0,1,0,0.75
1340,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1341,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1342,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1343,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1344,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1345,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1346,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1347,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1348,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1349,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1350,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1351,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1352,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1353,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1354,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1355,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1356,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1357,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1358,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1359,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1360,5000,3000,1,,,,,,0.6,,,0,1,0,1.125
1361,5000,3000,1,,,,,,0.6,,,0,1,0,1.125
1362,5000,3500,1,,,,,,0.7,,,0,1,0,1.3125
1363,5000,4000,1,,,,,,0.8,,,0,1,0,1.5
1364,40000,10000,1,,,,,,0.25,,,0,1,0,3.75
1365,40000,10000,0,,,,,,0.25,,,0,1,0,3.75
1366,40000,10000,1,,,,,,0.25,,,0,1,0,3.75
1367,40000,10000,1,,,,,,0.25,,,0,1,0,3.75
1368,40000,12000,0,,,,,,0.3,,,0,1,0,4.5
1369,40000,15000,1,,,,,,0.375,,,0,1,0,5.625
1370,40000,15000,0,,,,,,0.375,,,0,1,0,5.625
1371,40000,15000,1,,,,,,0.375,,,0,1,0,5.625
1372,40000,15000,1,,,,,,0.375,,,0,1,0,5.625
1373,40000,15000,1,,,,,,0.375,,,0,1,0,5.625
1374,40000,15000,1,,,,,,0.375,,,0,1,0,5.625
1375,40000,17500,1,,,,,,0.4375,,,0,1,0,6.5625
1376,40000,18000,1,,,,,,0.45,,,0,1,0,6.75
1377,40000,19000,1,,,,,,0.475,,,0,1,0,7.125
1378,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1379,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1380,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1381,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1382,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1383,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1384,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1385,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1386,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1387,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1388,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1389,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1390,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1391,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1392,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1393,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1394,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1395,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1396,40000,20000,1,,,,,,0.5,,,0,1,0,7.5
1397,40000,30000,1,,,,,,0.75,,,0,1,0,11.25
1398,5000,500,1,,,,,,0.1,,,0,1,0,0.1875
1399,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1400,5000,1000,1,,,,,,0.2,,,0,1,0,0.375
1401,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1402,5000,1000,0,,,,,,0.2,,,0,1,0,0.375
1403,5000,1000,1,,,,,,0.2,,,0,1,0,0.375
1404,5000,1500,1,,,,,,0.3,,,0,1,0,0.5625
1405,5000,1500,1,,,,,,0.3,,,0,1,0,0.5625
1406,5000,1800,1,,,,,,0.36,,,0,1,0,0.675
1407,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1408,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1409,5000,2000,0,,,,,,0.4,,,0,1,0,0.75
1410,5000,2000,0,,,,,,0.4,,,0,1,0,0.75
1411,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1412,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1413,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1414,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1415,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1416,5000,2000,0,,,,,,0.4,,,0,1,0,0.75
1417,5000,2000,1,,,,,,0.4,,,0,1,0,0.75
1418,5000,2200,1,,,,,,0.44,,,0,1,0,0.825
1419,5000,2200,1,,,,,,0.44,,,0,1,0,0.825
1420,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1421,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1422,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1423,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1424,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1425,5000,2500,1,,,,,,0.5,,,0,1,0,0.9375
1426,5000,3500,1,,,,,,0.7,,,0,1,0,1.3125
1427,200000,1000,0,,,,,,0.005,,,0,1,0,0.375
1428,200000,25000,0,,,,,,0.125,,,0,1,0,9.375
1429,200000,41000,0,,,,,,0.205,,,0,1,0,15.375
1430,200000,50000,1,,,,,,0.25,,,0,1,0,18.75
1431,200000,75000,1,,,,,,0.375,,,0,1,0,28.125
1432,200000,75000,1,,,,,,0.375,,,0,1,0,28.125
1433,200000,75000,1,,,,,,0.375,,,0,1,0,28.125
1434,200000,77000,1,,,,,,0.385,,,0,1,0,28.875
1435,200000,80000,1,,,,,,0.4,,,0,1,0,30
1436,200000,80000,1,,,,,,0.4,,,0,1,0,30
1437,200000,80000,1,,,,,,0.4,,,0,1,0,30
1438,200000,81000,1,,,,,,0.405,,,0,1,0,30.375
1439,200000,90000,1,,,,,,0.45,,,0,1,0,33.75
1440,200000,90000,1,,,,,,0.45,,,0,1,0,33.75
1441,200000,90000,1,,,,,,0.45,,,0,1,0,33.75
1442,200000,90000,1,,,,,,0.45,,,0,1,0,33.75
1443,200000,90000,1,,,,,,0.45,,,0,1,0,33.75
1444,200000,99000,1,,,,,,0.495,,,0,1,0,37.125
1445,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1446,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1447,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1448,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1449,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1450,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1451,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1452,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1453,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1454,200000,100000,1,,,,,,0.5,,,0,1,0,37.5
1455,200000,100000,1,,,,,,0.5,,,0,1,0,37.5